AA_URL,A_IDX,b_content_type,b_number_of_iframes,b_presence_of_double_body,b_presence_of_double_head,b_presence_of_double_html,c_is_src_different,c_is_src_external,c_is_src_in_whiteList,h_dis_attr,h_height_min,h_hidden_rule1,h_hidden_rule2,h_hidden_rule3,h_is_tag_hidden,h_left_attr,h_pos_attr,h_top_attr,h_vis_attr,h_width_min,l_abs_dis_iframe_body,l_abs_dis_iframe_html,l_abs_iframe,l_abs_minimum_dis,l_iframe_close_to_body_start_or_end,l_iframe_close_to_html_start_end,l_ratio_minimum_dis,l_rela_dis_iframe_body,l_rela_dis_iframe_html,l_rela_iframe,l_total_length_of_website,s2_query_has_id_as_arguments,s2_query_has_security_words,s2_url_has_popular_words,s_category_TLD,s_count_of_digits_sub,s_count_of_letters_sub,s_has_digit_sub,s_has_file_name_extension,s_has_fragment,s_has_src,s_has_subdomain,s_isword_sub,s_num_of_dots,s_path_len,s_pattern_sub,s_query_arg_num,s_src_len,s_src_len_query,s_src_len_sub,t_distance_to_body,t_distance_to_head,t_distance_to_html,t_distance_to_root,t_in_the_body,t_in_the_head,t_in_the_html
/Users/ketian/Desktop/alexa10k/3sk.tv,0,BlogBox v2,1,False,False,False,4,True,False,,600.0,False,False,False,False,,,,,300.0,71,70,466,70,end,end,0.1303538175046555,0.13221601489757914,0.1303538175046555,0.8677839851024208,537,False,False,False,tv,,,,True,False,True,False,,1,9,,0,23,0,0,,,,2,False,False,False
/Users/ketian/Desktop/alexa10k/51job.com,0,,1,False,False,False,,False,False,none,,False,False,True,True,,,,,,429,384,431,384,start,start,0.3471971066907776,0.38788426763110306,0.3471971066907776,0.3896925858951175,1106,,,,,,,,,,False,,,,,,,,,,,,,6,False,False,False
/Users/ketian/Desktop/alexa10k/69tubesex.com,0,,3,False,False,False,3,True,False,,528.0,False,False,False,False,,,,,176.0,65,64,282,64,end,end,0.1844380403458213,0.1873198847262248,0.1844380403458213,0.8126801152737753,347,False,False,False,com,0,6,False,False,False,True,True,True,2,17,1,0,45,0,6,5,,6,7,True,False,True
/Users/ketian/Desktop/alexa10k/69tubesex.com,1,,3,False,False,False,3,True,False,,528.0,False,False,False,False,,,,,176.0,59,58,288,58,end,end,0.16714697406340057,0.17002881844380405,0.16714697406340057,0.829971181556196,347,False,False,False,com,0,6,False,False,False,True,True,True,2,17,1,0,45,0,6,6,,7,8,True,False,True
/Users/ketian/Desktop/alexa10k/69tubesex.com,2,,3,False,False,False,3,True,False,,146.0,False,False,False,False,,,,,960.0,51,50,296,50,end,end,0.1440922190201729,0.14697406340057637,0.1440922190201729,0.8530259365994236,347,False,False,False,com,0,6,False,False,False,True,True,True,2,17,1,0,45,0,6,4,,5,6,True,False,True
/Users/ketian/Desktop/alexa10k/720pizle.com,0,,4,False,False,False,2,True,False,,90.0,False,False,False,False,,,,,728.0,347,289,349,289,start,start,0.3203991130820399,0.38470066518847007,0.3203991130820399,0.3869179600886918,902,True,False,False,com,,,,False,False,True,False,,2,9,,3,64,27,0,3,,4,5,True,False,True
/Users/ketian/Desktop/alexa10k/720pizle.com,1,,4,False,False,False,2,True,False,,250.0,False,False,False,False,,,,,300.0,114,113,788,113,end,end,0.12527716186252771,0.12638580931263857,0.12527716186252771,0.8736141906873615,902,True,False,False,com,0,17,False,False,False,True,True,False,3,6,3,4,95,52,18,6,,7,8,True,False,True
/Users/ketian/Desktop/alexa10k/720pizle.com,2,,4,False,False,False,2,True,False,,250.0,False,False,False,False,,,,,300.0,113,112,789,112,end,end,0.12416851441241686,0.12527716186252771,0.12416851441241686,0.8747228381374723,902,True,False,False,com,,,,False,False,True,False,,2,9,,3,65,28,0,6,,7,8,True,False,True
/Users/ketian/Desktop/alexa10k/720pizle.com,3,,4,False,False,False,2,True,False,,250.0,False,False,False,False,,,,,300.0,112,111,790,111,end,end,0.12305986696230599,0.12416851441241686,0.12305986696230599,0.8758314855875832,902,True,False,False,com,0,13,False,False,False,True,True,False,3,6,3,4,94,55,14,6,,7,8,True,False,True
/Users/ketian/Desktop/alexa10k/7tor.download,0,,1,False,False,False,,False,False,,60.0,False,False,False,False,,,,,160.0,146,125,150,125,start,start,0.1151012891344383,0.13443830570902393,0.1151012891344383,0.13812154696132597,1086,False,False,False,,,,,False,False,True,False,,0,13,,1,29,13,0,7,,8,9,True,False,True
