index,Iframe,domain,filename
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://audi-primorsky.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_6455_20170729_054145/html_200_20170729_054145.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=nespresso.su&amp;pid=9PO755G95""></iframe>",http://nespresso.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_2807_20170729_060233/html_200_20170729_060233.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://audi-novokuznetsk.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_2205_20170729_060407/html_200_20170729_060407.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://cybershop.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_7452_20170729_064305/html_200_20170729_064306.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://vodoleytula.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_6067_20170729_070446/html_200_20170729_070446.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://vallox.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_9279_20170729_071712/html_200_20170729_071712.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/locked/"" width=""100%""></iframe>",http://tyga.su/cgi-sys/suspendedpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_1979_20170729_072141/html_200_20170729_072141.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://audi-cherepovets.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_8485_20170729_072340/html_200_20170729_072340.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://amuragro.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_3914_20170729_073059/html_200_20170729_073059.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://mediaexpert.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_2964_20170729_073108/html_200_20170729_073108.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://hatsan.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_7402_20170729_073612/html_200_20170729_073612.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://egeist.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_1096_20170729_080410/html_200_20170729_080410.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://evro-partner.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_1347_20170729_083745/html_200_20170729_083745.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://internet-casino.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_6386_20170729_085811/html_200_20170729_085811.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://audi-kaluga.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_6099_20170729_092802/html_200_20170729_092802.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://audi-habarovsk.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_1344_20170729_093223/html_200_20170729_093223.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://verniikonu.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_6997_20170729_101052/html_200_20170729_101052.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://c-market.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_8268_20170729_104148/html_200_20170729_104148.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://goodlook.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_477_20170729_104356/html_200_20170729_104356.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://land.lptracker.ru/?ref=28365&amp;ip=209.249.157.102user_agent=Mozilla%2F5.0+%28compatible%3B+MSIE+8.0%3B+Windows+NT+6.1%3B+Trident%2F4.0%3B+GTB7.4%3B+InfoPath.2%3B+SV1%3B+.NET+CLR+3.3.69573%3B+WOW64%3B+en-US%29&amp;utm_source=&amp;utm_campaign=&amp;utm_term=&amp;utm_content=&amp;referer="" style=""padding:0px; margin:0px;"" width=""100%""></iframe>",http://call-tracking.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_4158_20170729_105939/html_200_20170729_105939.txt
0,"<iframe allowtransparency=""true"" frameborder=""0"" scrolling=""no"" src=""//widget.stapico.ru/?q=kvmetr.su&amp;s=100&amp;w=2&amp;h=3&amp;b=1&amp;p=5&amp;title=kvmetr.su&amp;effect=0"" style=""border:none;overflow:hidden;width:250px; height: 490px""></iframe>",http://kvmetr.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_9227_20170729_110251/html_200_20170729_110251.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/new/"" width=""100%""></iframe>",http://belova.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_3419_20170729_110343/html_200_20170729_110343.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://dobrava.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_8441_20170729_111824/html_200_20170729_111824.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://audi-vladimir.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_4922_20170729_113020/html_200_20170729_113020.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://land.lptracker.ru/?ref=13368&amp;ip=209.249.157.102user_agent=Mozilla%2F5.0+%28compatible%3B+MSIE+8.0%3B+Windows+NT+6.1%3B+Trident%2F4.0%3B+GTB7.4%3B+InfoPath.2%3B+SV1%3B+.NET+CLR+3.3.69573%3B+WOW64%3B+en-US%29&amp;utm_source=&amp;utm_campaign=&amp;utm_term=&amp;utm_content=&amp;referer="" style=""padding:0px; margin:0px;"" width=""100%""></iframe>",http://crmlptracker.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_5482_20170729_114105/html_200_20170729_114105.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://kstar.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_5822_20170729_115428/html_200_20170729_115428.txt
0,"<iframe height=""0"" src=""http://www.advantshop.net/appoffline.aspx"" style=""border:none"" width=""0""></iframe>",http://thermobile.su/app_offline.html,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_6945_20170729_120820/html_200_20170729_120820.txt
0,"<iframe frameborder=""0"" height=""100%"" src=""http://err.hc.ru/missing/"" width=""100%""></iframe>",http://gadalki.su/cgi-sys/defaultwebpage.cgi,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_4288_20170729_124104/html_200_20170729_124104.txt
0,"<iframe height=""1"" src=""https://socialcrm2.ru/?r=&amp;ajax=1&amp;act=click&amp;adv_id=&amp;adv_type=main"" style=""position:absolute; top:-9999px;"" width=""1""></iframe>",http://socialcrm.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_9514_20170729_124319/html_200_20170729_124319.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=diman.su&amp;pid=9PO755G95""></iframe>",http://diman.su,/mnt/eznfs1/scrap_data_22_bot3/12/Win7_32_IE8_12_4159_20170729_124651/html_200_20170729_124651.txt
