AA_URL,A_IDX,b_content_type,b_number_of_iframes,b_presence_of_double_body,b_presence_of_double_head,b_presence_of_double_html,c_is_src_different,c_is_src_external,c_is_src_in_whiteList,h_dis_attr,h_height_min,h_hidden_rule1,h_hidden_rule2,h_hidden_rule3,h_is_tag_hidden,h_left_attr,h_pos_attr,h_top_attr,h_vis_attr,h_width_min,l_abs_dis_iframe_body,l_abs_dis_iframe_html,l_abs_iframe,l_abs_minimum_dis,l_iframe_close_to_body_start_or_end,l_iframe_close_to_html_start_end,l_ratio_minimum_dis,l_rela_dis_iframe_body,l_rela_dis_iframe_html,l_rela_iframe,l_total_length_of_website,s2_query_has_id_as_arguments,s2_query_has_security_words,s2_url_has_popular_words,s_category_TLD,s_count_of_digits_sub,s_count_of_digits_webname,s_count_of_letters_sub,s_count_of_letters_webname,s_has_digit_sub,s_has_file_name_extension,s_has_fragment,s_has_src,s_has_subdomain,s_isword_sub,s_num_of_dots,s_path_len,s_pattern_sub,s_query_arg_num,s_src_len,s_src_len_query,s_src_len_sub,t_distance_to_body,t_distance_to_head,t_distance_to_html,t_distance_to_root,t_in_the_body,t_in_the_head,t_in_the_html
/Users/ketian/Desktop/martin/martinIframe/527dc492abf8c48c2a4ad32ee74a8cf2fa77187f40bd865992b2c0c6c48b614d,0,,1,False,False,False,1,True,False,,10.0,False,False,True,True,0.0,absolute,0.0,hidden,10.0,32,0,54,0,end,start,0.0,0.37209302325581395,0.0,0.627906976744186,86,False,False,False,org,,4,,21,,True,False,True,False,,1,9,,0,44,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/551bb7d165005aa368f596cbbff722b300356d8219ffe649127fed3b5c320095,0,,1,False,False,False,1,True,False,,10.0,False,False,True,True,0.0,absolute,0.0,hidden,10.0,0,1,132,0,end,end,0.0,0.0,0.007575757575757576,1.0,132,False,False,False,com,,0,,14,,True,False,True,False,,1,11,,0,34,0,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/555e71d4de9c50e6cfcafcbc95778a2615e223a601f6564fd4a6546219297c35,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,400,1,end,end,0.0024875621890547263,0.004975124378109453,0.0024875621890547263,0.9950248756218906,402,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/558e9db8c7afc64042dd9ba3e7afa698e482229d576e5173bd02160bf5db71dc,0,,1,False,False,False,1,True,False,,2.0,True,False,False,True,,,,,2.0,2,0,254,0,end,end,0.0,0.0078125,0.0,0.9921875,256,True,False,False,com,,0,,15,,True,False,True,False,,1,14,,1,49,10,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/58bfdef2a6e70b47fc7852ae1bc3fdfdac9f262bdc81ebab0f82713979b5e6e9,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,139,1,end,end,0.0070921985815602835,0.014184397163120567,0.0070921985815602835,0.9858156028368794,141,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/59010213379fba9c01b56c006d588069b6b56bc766f5031838cf22377a96eb37,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,309,1,end,end,0.003215434083601286,0.006430868167202572,0.003215434083601286,0.9935691318327974,311,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/5dc7311f9bb9f460341ed0e210b8898232fccf236babb66898ca3157cc161977,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,105,1,end,end,0.009345794392523364,0.018691588785046728,0.009345794392523364,0.9813084112149533,107,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/6120f7b9dde982c73a4b751d0a82c22816fbcd7127101085923a1109e6bf1272,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,0,,15,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/632f023740bdc08eec5d7c818e44500cbbd0c3012c3066b1e11bfc58a5af617d,0,,1,False,False,False,1,True,False,,2.0,True,False,False,True,,,,,2.0,1,0,280,0,end,end,0.0,0.0035587188612099642,0.0,0.99644128113879,281,False,False,False,com,,0,,12,,True,False,True,False,,1,9,,1,40,9,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/67bed92330433798154b110cf169dcb761b2a75961bcdc322edd19139a49c9d2,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,0,,15,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
